Dependency;Version;SPDX ID;License;Allowed
github.com/gchaincl/sqlhooks;v1.3.0;MIT;MIT License;yes
github.com/getsentry/raven-go;v0.2.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/glycerine/go-unsnap-stream;v0.0.0-20190901134440-81cf024a9e0a;MIT;MIT License;yes
github.com/go-redsync/redsync;v1.4.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/go-stack/stack;v1.8.0;MIT;MIT License;yes
github.com/gobwas/glob;v0.2.3;MIT;MIT License;yes
github.com/gogo/protobuf;v1.3.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/golang-migrate/migrate;v4.10.0;MIT;MIT License;yes
github.com/golang/gddo;v0.0.0-20200324184333-3c2cc9a6329d;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/golang/groupcache;v0.0.0-20200121045136-8c9f03a8e57e;Apache-2.0;Apache License 2.0;yes
github.com/golang/protobuf;v1.3.5;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/golang/snappy;v0.0.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gomodule/oauth1;v0.0.0-20181215000758-9a59ed3b0a84;Apache-2.0;"Apache License 2.0
";yes
github.com/gomodule/redigo;v2.0.0+incompatible;Apache-2.0;Apache License 2.0;yes
github.com/google/go-cmp;v0.4.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/google/go-github;v28.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/google/go-github;v28.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/google/go-querystring;v1.0.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/google/uuid;v1.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/googleapis/gax-go;v2.0.5;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/context;v1.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/csrf;v1.6.2;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/handlers;v1.4.2;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/gorilla/mux;v1.7.4;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/schema;v1.1.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/securecookie;v1.1.1;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/gorilla/sessions;v1.2.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/goware/urlx;v0.3.1;MIT;MIT License;yes
github.com/graph-gophers/graphql-go;v0.0.0-20200309224638-dae41bde9ef9;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/gregjones/httpcache;v0.0.0-20190611155906-901d90724c79;MIT;MIT License;yes
github.com/hashicorp/errwrap;v1.0.0;MPL-2.0;Mozilla Public License 2.0;yes
github.com/hashicorp/go-multierror;v1.1.0;MPL-2.0;Mozilla Public License 2.0;yes
github.com/honeycombio/libhoney-go;v1.12.4;Apache-2.0;Apache License 2.0;yes
github.com/inconshreveable/log15;v0.0.0-20200109203555-b30bc20e4fd1;Apache-2.0;Apache License 2.0;yes
github.com/jmespath/go-jmespath;v0.3.0;Apache-2.0;Apache License 2.0;yes
github.com/jmoiron/sqlx;v1.2.1-0.20190826204134-d7d95172beb5;MIT;MIT License;yes
github.com/joho/godotenv;v1.3.0;MIT;MIT License;yes
github.com/jonboulle/clockwork;v0.1.0;Apache-2.0;Apache License 2.0;yes
github.com/karlseguin/typed;v1.1.7;MIT;MIT License;yes
github.com/karrick/godirwalk;v1.15.5;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/karrick/tparse;v2.8.0;MIT;MIT License;yes
github.com/keegancsmith/rpc;v1.1.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/keegancsmith/sqlf;v1.1.0;MIT;MIT License;yes
github.com/keegancsmith/tmpfriend;v0.0.0-20180423180255-86e88902a513;MIT;MIT License;yes
github.com/klauspost/compress;v1.10.3;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/kr/text;v0.2.0;MIT;MIT License;yes
github.com/lib/pq;v1.3.0;MIT;MIT License;yes
github.com/lightstep/lightstep-tracer-common/golang/gogo;v0.0.0-20200310182322-adf4263e074b;MIT;MIT License;yes
github.com/lightstep/lightstep-tracer-go;v0.20.0;MIT;MIT License;yes
github.com/mattn/go-colorable;v0.1.6;MIT;MIT License;yes
github.com/mattn/go-isatty;v0.0.12;MIT;MIT License;yes
github.com/mattn/go-sqlite3;v2.0.3+incompatible;MIT;MIT License;yes
github.com/matttproud/golang_protobuf_extensions;v1.0.1;Apache-2.0;Apache License 2.0;yes
github.com/microcosm-cc/bluemonday;v1.0.2;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/neelance/parallel;v0.0.0-20160708114440-4de9ce63d14c;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/opencontainers/go-digest;v1.0.0-rc1;Apache-2.0;Apache License 2.0;yes
github.com/opencontainers/image-spec;v1.0.1;Apache-2.0;Apache License 2.0;yes
github.com/opentracing-contrib/go-stdlib;v0.0.0-20190519235532-cf7a6c988dc9;Apache-2.0;Apache License 2.0;yes
github.com/opentracing/opentracing-go;v1.1.0;Apache-2.0;Apache License 2.0;yes
github.com/peterhellberg/link;v1.1.0;MIT;MIT License;yes
github.com/philhofer/fwd;v1.0.0;MIT;MIT License;yes
github.com/pkg/errors;v0.9.1;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/pquerna/cachecontrol;v0.0.0-20180517163645-1555304b9b35;Apache-2.0;Apache License 2.0;yes
github.com/prometheus/client_golang;v1.5.1;Apache-2.0;Apache License 2.0;yes
github.com/prometheus/client_model;v0.2.0;Apache-2.0;Apache License 2.0;yes
github.com/prometheus/common;v0.9.1;Apache-2.0;Apache License 2.0;yes
github.com/prometheus/procfs;v0.0.11;Apache-2.0;Apache License 2.0;yes
github.com/rainycape/unidecode;v0.0.0-20150907023854-cb7f23ec59be;Apache-2.0;Apache License 2.0;yes
github.com/russellhaering/goxmldsig;v0.0.0-20180430223755-7acd5e4a6ef7;Apache-2.0;Apache License 2.0;yes
github.com/russross/blackfriday;v1.5.2;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/segmentio/fasthash;v1.0.1;MIT;MIT License;yes
github.com/sergi/go-diff;v1.1.0;MIT;MIT License;yes
github.com/shirou/gopsutil;v2.20.3+incompatible;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/shurcooL/github_flavored_markdown;v0.0.0-20181002035957-2122de532470;MIT;MIT License;yes
github.com/shurcooL/highlight_diff;v0.0.0-20181222201841-111da2e7d480;MIT;MIT License;yes
github.com/shurcooL/highlight_go;v0.0.0-20191220051317-782971ddf21b;MIT;MIT License;yes
github.com/shurcooL/octicon;v0.0.0-20191102190552-cbb32d6a785c;MIT;MIT License;yes
github.com/shurcooL/sanitized_anchor_name;v1.0.0;MIT;MIT License;yes
github.com/sirupsen/logrus;v1.5.0;MIT;MIT License;yes
github.com/sloonz/go-qprintable;v0.0.0-20160203160305-775b3a4592d5;ISC;ISC License;yes
github.com/sourcegraph/annotate;v0.0.0-20160123013949-f4cad6c6324d;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/sourcegraph/ctxvfs;v0.0.0-20180418081416-2b65f1b1ea81;MIT;MIT License;yes
github.com/sourcegraph/go-diff;v0.5.1;MIT;MIT License;yes
github.com/sourcegraph/go-jsonschema;v0.0.0-20191222043427-cdbee60427af;MIT;MIT License;yes
github.com/sourcegraph/go-langserver;v2.0.1-0.20181108233942-4a51fa2e1238+incompatible;MIT;MIT License;yes
github.com/sourcegraph/go-lsp;v0.0.0-20200117082640-b19bb38222e2;MIT;MIT License;yes
github.com/sourcegraph/gologin;v1.0.2-0.20181110030308-c6f1b62954d8;MIT;MIT License;yes
github.com/sourcegraph/gonduit;v0.4.0;MIT;MIT License;yes
github.com/sourcegraph/gosaml2;v0.3.2-0.20200109173551-5cfddeb48b17;Apache-2.0;Apache License 2.0;yes
github.com/sourcegraph/gosyntect;v0.0.0-20200331033347-c35e64c39373;MIT;MIT License;yes
github.com/sourcegraph/jsonx;v0.0.0-20190114210550-ba8cb36a8614;MIT;MIT License;yes
github.com/sourcegraph/syntaxhighlight;v0.0.0-20170531221838-bd320f5d308e;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/sourcegraph/zoekt;v0.0.0-20200401202556-ef3ec2393b46;Apache-2.0;Apache License 2.0;yes
github.com/sqs/httpgzip;v0.0.0-20180622165210-91da61ed4dff;MIT;MIT License;yes
github.com/src-d/enry;v2.1.0;Apache-2.0;Apache License 2.0;yes
github.com/src-d/gcfg;v1.4.0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
github.com/stripe/stripe-go;v70.11.0+incompatible;MIT;MIT License;yes
github.com/tinylib/msgp;v1.1.2;MIT;MIT License;yes
github.com/tomnomnom/linkheader;v0.0.0-20180905144013-02ca5825eb80;MIT;MIT License;yes
github.com/toqueteos/trie;v1.0.0;MIT;MIT License;yes
github.com/uber/jaeger-client-go;v2.22.1+incompatible;Apache-2.0;Apache License 2.0;yes
github.com/uber/jaeger-lib;v2.2.0+incompatible;Apache-2.0;Apache License 2.0;yes
github.com/vmihailenco/msgpack;v4.3.11;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/vmihailenco/tagparser;v0.1.1;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
github.com/xeipuuv/gojsonpointer;v0.0.0-20190905194746-02993c407bfb;Apache-2.0;Apache License 2.0;yes
github.com/xeipuuv/gojsonreference;v0.0.0-20180127040603-bd5ef7bd5415;Apache-2.0;Apache License 2.0;yes
github.com/xeipuuv/gojsonschema;v1.2.0;Apache-2.0;Apache License 2.0;yes
github.com/xeonx/timeago;v1.0.0-rc4;MIT;MIT License;yes
go.opencensus.io;v0.22.3;Apache-2.0;Apache License 2.0;yes
go.uber.org/atomic;v1.6.0;MIT;MIT License;yes
go.uber.org/automaxprocs;v1.3.0;MIT;MIT License;yes
golang.org/x/crypto;v0.0.0-20200403201458-baeed622b8d8;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/net;v0.0.0-20200324143707-d3edc9973b7e;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/oauth2;v0.0.0-20200107190931-bf48bf16ab8d;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/sync;v0.0.0-20200317015054-43a5402ce75a;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/sys;v0.0.0-20200331124033-c3d80250170d;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/text;v0.3.2;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/time;v0.0.0-20191024005414-555d28b269f0;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
golang.org/x/tools;v0.0.0-20200403190813-44a64ad78b9b;BSD-3-Clause;"BSD 3-Clause ""New"" or ""Revised"" License";yes
google.golang.org/api;v0.21.0;BSD-3-Clause;<license not found or detected>;yes
google.golang.org/genproto;v0.0.0-20200403120447-c50568487044;Apache-2.0;Apache License 2.0;yes
google.golang.org/grpc;v1.28.0;Apache-2.0;Apache License 2.0;yes
gopkg.in/alexcesaro/statsd.v2;v2.0.0;MIT;MIT License;yes
gopkg.in/jpoehls/gophermail.v0;v0.0.0-20160410235621-62941eab772c;MIT;MIT License;yes
gopkg.in/square/go-jose.v2;v2.4.1;Apache-2.0;Apache License 2.0;yes
gopkg.in/src-d/go-git.v4;v4.13.1;Apache-2.0;Apache License 2.0;yes
gopkg.in/toqueteos/substring.v1;v1.0.2;MIT;MIT License;yes
gopkg.in/warnings.v0;v0.1.2;BSD-2-Clause;"BSD 2-Clause ""Simplified"" License";yes
gopkg.in/yaml.v2;v2.2.8;Apache-2.0;Apache License 2.0;yes
sourcegraph.com/sqs/pbtypes;v1.0.0;Apache-2.0;Apache License 2.0;yes
